company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored,emails
SUNFINITY SOLAR LLC,Other Energy,sunfinity-solar.com,DALLAS,TX,75248,(972) 707-3030,2016,9,"Henry G. Schopher, John B. Billingsley, Jr.","Anita w Roberson, Hazen w Buford, Joseph G. Kiwak, Kathy D Dunn, Richard w Grosdidier",15000000,15000000,Pre-Seed,24-08-2018,,,,,,contact@sunfinity-solar.com
SUNFLOWER LABS INC,Other Technology,sunflower-labs.com,SAN CARLOS,CA,94070,(707) 780-2268,,,Alexander Pachikov,"Christian Eheim, Elian Kool, Phil Libin",2000000,2000000,Pre-Seed,22-12-2023,,,,,,press@sunflower-labs.com
SUNFOLDING INC,Other Technology,sunfolding.com,ALAMEDA,CA,94501,(866) 763-5364,,,"GLEN DAVIS, LEILA MADRONE","BEN KORTLANG, BRUCE SOHN, SAUL GRIFFITH, SOHN BRUCE, VEERY MAXWELL",100222779,41400000,Series B,16-12-2022,,,,,,grow@hexxen.com
SUNFLY BRANDS INC,Other,sunflybrands.com,SEATTLE,WA,98199,(206) 384-8268,2016,9,"Michael Croix, Michael Joe Croix, Robert A Wallach",Eric A Larsen,3000000,1500000,Pre-Seed,31-10-2022,,,,,,info@sunflybrands.com
SUNGAGE FINANCIAL INC,Other,sungagefinancial.com,BOSTON,MA,2110,(617) 275-2345,2012,13,"Sara Ross, Sylvain Mansier","Dawn D. Gillette, James Donovan, Sr., Michael Buman, Richard Klein",8772383,3300000,Seed,13-02-2017,,,,,,CustomerService@SungageFinancial.com
SUNGAGE FINANCIAL LLC,Other,sungagefinancial.com,BOSTON,MA,2111,(617) 849-7034,,,"James Donavan, Michael Gilroy","Akhil Bansal, Gregory Gudis, Kurt Edwards, Michael Buman, Sara Ross",49249074,10000000,Series A,27-06-2025,,,,,,CustomerService@SungageFinancial.com
SUNNYBAY BIOTECH INC,Biotechnology,sunnybaybiotech.com,FREMONT,CA,94539,(512) 332-6968,2022,3,"Feng Wang-Johanning, Gary Johanning","Peter Colabuono, Xiangmin Cui",5980914,5980914,Seed,11-01-2023,,,,,,contact@sunnybaybiotech.com
SUNFUNDER INC,Other,sunfunder.com,SAN FRANCISCO,CA,94104,(844) 786-3863,2012,13,"AUDREY DESIDERATO, Alycia Kellman, Audrey Desiderato, RYAN LEVINSON, Ryan Levinson","Bill Marvel, KENNETH LOCKLIN, Kenneth Locklin, RAOUL SLAVIN, Raoul Slavin, SANDHYA HEGDE, Sandhya Hegde, Sheldon Kimber",14154777,1500000,Pre-Seed,29-04-2022,,,,,,communication-mirova@mirova.com; communication@mirova.com
SUNSHINE ENCLOSURES LLC,Manufacturing,sunshineenclosures.com,NEW YORK,NY,10016,(212) 268-9009,2018,7,Edward Ubell,,1250000,1250000,Pre-Seed,02-08-2021,,,,,,info@sunshineenclosures.com
SUNRUN INC,Other Energy,sunrun.com,SAN FRANCISCO,CA,94104,(415) 580-6900,,,"Chris Dawson, Edward Fenster, Jeanna Steele, Lynn Jurich, Tom vonReichbauer","David Bywater, Gerald Risk, Katherine August-deWilde, Leslie Dach, Mary Powell",,,,,136,0,100,167500,"['Sr. Business Process Analyst', 'Senior Staff Infrastructure and Enterprise Engineer', 'Senior Software Engineer', 'Software Engineer', 'Manager, Salesforce Developer']",press@sunrun.com
SUNWINK CORP,Other,sunwink.com,San Francisco,CA,94115,(717) 827-6211,2018,7,Elizabeth Timpson,"Anh Le, Denis Ring, Robert Gray",10085496,7085500,Series A,20-03-2020,,,,,,hello@sunwink.com; press@sunwink.com
SUPER MOJO INC,Other Technology,supermojo.com,GREENBRAE,CA,94904,(415) 843-1331,2022,3,"Amir Sarhangi, Scott Craig DeWitt, Todd Ramsay Parker",,6250000,6250000,Series A,05-04-2022,,,,,,contact@supermojo.com
SUPERCONDUCTOR TECHNOLOGIES INC,Other Technology,superconductor.com,Austin,TX,78754,(512) 334-8900,,,"Adam L. Shelton, Jeffrey A. Quiram, Kenneth E. Pfeiffer, Robert L. Johnson, Robert S. Johnson, William J. Buchanan","Dan L. Halvorson, David W. Vellequette, Lynn J. Davis, Martin A. Kaplan",3407526,1802340,Pre-Seed,09-03-2018,,,,,,help@superconductor.com
SUPERFRAME INC,Other Technology,superframe.com,Palo Alto,CA,94304,(707) 241-3145,2023,2,"Derek Steer, Nick Bruun",Dan Scholnick,5009994,5009994,Series A,05-05-2023,,,,,,hi@superframe.com
SUPERHI INC,Other Technology,superhi.com,NEW YORK,NY,10016,(760) 826-2955,,,Richard Lomas,,6685101,6685101,Series A,08-12-2021,,,,,,hi@superhi.com
SUPERGRAVITY INC,Other,supergravity.com,MANHATTAN BEACH,CA,90266,(323) 363-8555,2014,11,"Marc Hustvedt, Max Benator",Pietro Moro,1950000,1950000,Pre-Seed,22-07-2015,,,,,,webmaster@supergravity.com
SUPERTRADER INC,Other Banking and Financial Services,supertrader.io,LOS ANGELES,CA,90035,(646) 584-0776,2020,5,"John Porges, Ryan Barrows",Edward Oppedisano,6000000,3500000,Seed,29-11-2023,,,,,,service@atom.com
SUPERSTATE INC,Other Technology,superstate.com,SAN FRANCISCO,CA,94105,(713) 557-5193,2023,2,"Reid Cuming, Robert Leshner",James Hiltner,23999997,20249997,Series A,28-08-2023,,,,,,comms@superstate.com
SUPIRA MEDICAL INC,Other Health Care,supiramedical.com,Campbell,CA,95008,(510) 705-2569,,,"Jean Orth, Mariam Maghribi, Nitin Salunke","Amr Salahieh, Bihua Chen, Casey Gordon, Christopher Shen",239984957,119999984,Series D+,25-03-2025,,,,,,info@supiramedical.com
SUPPLY CLINIC INC,Other Health Care,supplyclinic.com,CHICAGO,IL,60654,(617) 356-8033,2014,11,"Jacob Drucker, Scott Drucker",Lisa Cooper,1000000,1000000,Pre-Seed,02-10-2018,,,,,,team@supplyclinic.com
SUPPLYING DEMAND INC,Other,supplyingdemand.com,Los Angeles,CA,90066,(213) 652-3452,2018,7,"Amy Friedlander Hoffman, Brittany D'Arcy, Jon-Ryan Riggins, Joseph Lee, Michael Cessario, Nicholas Manolelis, Tiffany Lee","Jon-Ryan Riggins, Michael Jones, Mitchell Krupp, Peter Pham, Robert Ryder",264370055,67609789,Series C,30-11-2023,,,,,,help@supplyingdemand.com
SUPPLYPRO INC,Other Technology,supplypro.com,SAN DIEGO,CA,92121,(858) 587-6438,,,Floyd Miller,"James L.L. Tullis, Michael Sennott, Terrance S. Meehan",3000000,3000000,Seed,19-03-2019,,,,,,customerservice@supplypro.com
SURE COUNT SURGICAL LLC,Other Health Care,surecountsurgical.com,LOS ANGELES,CA,90048,(310) 855-1622,,,Lawrence Richman,,2740600,2740600,Seed,07-07-2020,,,,,,info@surecountsurgical.com
SUREDONE INC,Other Technology,suredone.com,NEW YORK,NY,10010,(877) 773-6755,2012,13,Jason Nadaf,Edward Tolson,1000023,1000023,Pre-Seed,14-05-2014,,,,,,hello@suredone.com; Suredone@gmail.com
SURGLOGS INC,Other Technology,surglogs.com,SAN DIEGO,CA,92101,(646) 957-1534,2019,6,Peter Zajac,"Andrej Kiska, Jakub Jasak, John Bertrand, John Hilinski, Patrik Backman",16000000,11000000,Series A,26-11-2021,,,,,,info@surglogs.com
SURGO GROUP LLC,Other,surgo.com,NEW YORK,NY,10013,(212) 389-6293,,,Travis Tillotson,Sam Fraenkel,17674990,15000000,Seed,15-11-2017,,,,,,sales@surgo.com
SURKUS INC,Other Technology,surkus.com,Santa Monica,CA,90069,(323) 818-6116,2014,11,"Stephen George, William Howe","Christopher Huh, David Steinberg, Forest Zukerman, Robert Sigler, Sid Mewara, Wayne Chang",11774494,4274494,Seed,31-08-2020,,,,,,contact@xocdia-88.com
SURO CAPITAL CORP,Investing,suro.com,NEW YORK,NY,10019,(650) 235-4769,,,"Allison Green, Mark Klein","Leonard Potter, Lisa Westley, Marc Mazur, Ronald Lott",30000000,30000000,Series B,14-08-2024,,,,,,tracy@enaming.com
SURROZEN INC,Biotechnology,surrozen.com,SOUTH SAN FRANCISCO,CA,94080,(510) 703-9491,2015,10,Craig Parker,"Anna Berkenblit, David Goeddel, Harold Varmus, Tim Kutzkey",50000000,50000000,Series C,04-06-2020,,,,,,info@surrozen.com
SURVEYOR HEALTH CORP,Other,surveyorhealth.com,FOSTER CITY,CA,94404,(650) 241-3767,,,"Erick Von Schweber, Linda Von Schweber",,1500000,1500000,Pre-Seed,20-01-2016,,,,,,info@surveyorhealth.com
SURVEYSPARROW INC,Other Technology,surveysparrow.com,PALO ALTO,CA,94306,(800) 481-0410,2018,7,Muhammed Shihab Puthukkudi,Subin Shihab Sebastian,1425000,1425000,Pre-Seed,07-11-2018,,,,,,support@surveysparrow.com
SUST INC,Other Technology,sust.com,SAN FRANCISCO,CA,94133,(479) 847-1813,2021,4,"JOSHUA GILBERT, Joshua Gilbert","GOPAL ERINJIPPURATH, Gopal Erinjippurath, TOM BRADLEY, Tom Bradley",5155000,2000000,Pre-Seed,02-05-2023,,,,,,klaus@sust.com
SUSTAINABLE IMPRINTS INC,Other,sustainableimprints.com,HIGHLAND PARK,IL,60035,(773) 412-5476,2022,3,"Daniel Rubin, Matthew Roy, Rory Rubin",Joseph LaManna,1500000,1500000,Pre-Seed,08-02-2022,,,,,,Info@SICBS.com; info@SICBS.com
SUTRO SOFTWARE INC,Other Technology,sutrosoftware.com,OAKLAND,CA,94609,(650) 420-7069,2021,4,Tomas Halgas,Owen Campbell-Moore,6042997,6042997,Series A,23-04-2024,,,,,,info@sutrosoftware.com
SUZY INC,Other Technology,suzy.com,NEW YORK,NY,10003,(646) 237-3692,,,"Avi Savar, Jennifer Healy, Joel Johnson, Matt Britton","Brian Hirsch, Eric Tencer, Gayle Troberman, George Bitar, Seth Levine, Sim Blaustein, Timothy Dibble",84015705,49999986,Series C,26-07-2021,,,,,,support@suzy.com
SVIX INC,Other Technology,svix.com,NEW YORK,NY,94114,(415) 914-8132,2021,4,Tom Hacohen,,10386993,10386993,Series A,27-10-2022,,,,,,support@svix.com; legal@svix.com; security@svix.com
SWAN SOLUTIONS INC,Other Technology,swan-solutions.com,Austin,TX,78723,(713) 300-6330,2015,10,"Ohad Nezer, Yaniv Boshernitzan","Doss Cunningham, Markus Liem",3000000,3000000,Pre-Seed,25-05-2018,,,,,,sales@part-four.com
SWAPONZ INC,Other,swaponz.com,NATICK,MA,01760-2057,(508) 650-4456,2012,13,"DONALD H. SIEGEL, LOUIS L. KRONFELD, LOUIS R. KRONFELD, Louis Kronfeld, PATRICK L. PLANCHE, STEVEN L. BOCK, Steven Bock","Bryan Jacoboski, PATRICK L. PLANCHE, Patrick Planche, Peter Vitulli, ROBERT BRYAN JACOBOSKI, Serafino Posa",4250050,2000000,Pre-Seed,22-12-2022,,,,,,info@swaponz.com
SWARM ENGINEERING INC,Other Technology,swarmengineering.com,IRVINE,CA,92612,(949) 861-1584,,,"Anthony Howcroft, Stuart Frost","John Power, Kurt Heikkinen, Mike Wise, Stuart Frost, Vamsi Bonthala",20240279,7000000,Seed,30-10-2024,,,,,,info@swarm.engineering
SWARE INC,Other Technology,sware.com,CHELSEA,MA,2150,(978) 884-4275,2020,5,ELLEN R. REILLY,"BRYAN ENNIS, JENNIFER GOLDSMITH, JULIAN R. MARCU, KOSAL KEO, MATTHEW R. NICKLIN, NICK R. MORAN, WILLIAM R. COWEN",11521667,8021667,Series A,17-04-2024,,,,,,info@sware.com
SWEE10 INC,Other,swee10.com,NEW YORK,NY,10002,(212) 671-1713,2013,12,Jean Brownhill Lauer,"Andrew K. Boszhardt Jr., Preeti Brownhill Sriratana, Travis Brownhill Putnam",12799998,2500000,Pre-Seed,09-06-2017,,,,,,customercare@swee10.com
SWITCH HEALTHCARE INC,Other Health Care,switchhealthcare.com,SEATTLE,WA,98122,(206) 979-3439,2015,10,"Carl Myers, Donald Forrester, Philip Walling",,2000000,2000000,Pre-Seed,11-12-2015,,,,,,info@switchhc.com
SWITCH BIOWORKS INC,Other Technology,switchbioworks.com,SAN CARLOS,CA,94070,(206) 913-4300,2022,3,Tim Schnabel,"Douglas Cameron, Kartick C. Kumar",23575829,23575829,Series B,21-08-2024,,,,,,hello@switchbioworks.com
SWITCHBACK SYSTEMS INC,Biotechnology,switchbacksystems.com,Saanta Cruz,CA,95060,(831) 200-4280,2019,6,"Brian Conn, Jason Myers, Mary Noe","A Craig Asher, Craig Asher, Paul Conley, Timothy Richardson",31804874,14999996,Series A,23-07-2024,2,0,100,110000,['Team Lead and Scientist II'],sales@switchbacksystems.com
SWITCH THERAPEUTICS INC,Other,switch-therapeutics.com,SOUTH SAN FRANCISCO,CA,94080,(415) 518-9678,2020,5,"Deepshikha Datta, Si-Ping Han","Alicia Irurzun-Lafitte, Dylan Morris, Kevin Zhang",35984988,35984988,Series B,27-09-2022,,,,,,info@switchthera.flywheelsites.com; info@switchthera.com
SYAPSE INC,Other Technology,syapse.com,PALO ALTO,CA,94301,(650) 924-1461,,,"Glenn Winokur, Jonathan Hirsch, Ken Tarkoff, Tony Loeser, Trishan Arul","Alexander Hardy, Chamath Palihapitiya, Frank Williams, Gary Kurtzman, M.D., Jay Zaveri, John Kuelper",67999994,29999997,Series B,23-04-2019,4,0,100,220480,"['Manager, Cloud Engineering', 'Sr. Interoperability Engineer']",contact@npowermedicine.com
SYDECAR INC,Other Technology,sydecar.io,Houston,TX,77005,(818) 975-0605,2021,4,Nikhil Talreja,"Daniel Kimerling, David Meister, Stephanie Hsieh",27336856,11005000,Series A,01-11-2024,,,,,,hello@sydecar.io
SYDNEXIS INC,Other,sydnexis.com,Del Mar,CA,92014,(858) 925-6172,2014,11,"Greg Jacqueline Ostrow, Kenneth Jacqueline Widder, Mary Jacqueline Johnson, Mary Jaqueline Johnson, Patrick Jacqueline Johnson, Patrick Johnson, Perry Jaqueline Sternberg","Greg K. Grunberg, Jeffry K. Weinhuff, Juliet Bakker, Kevin Jacqueline Johnson, Richard K. Lindstrom, Tyler K. Stowater, Zach Scheiner, Zachary Jacqueline Scheiner",109266979,20000000,Series B,03-04-2025,,,,,,info@sydnexis.com
SYLKE INC,Other Health Care,sylke.com,LA JOLLA,CA,92037,(858) 727-9553,2023,2,"Alexander Graham, Jack Ferrier, Mehrdad Mofid, Rebecca Badowski-Platz, Scott Flowers, Sheva Mokarrarm",,25563993,10031998,Series A,13-03-2025,,,,,,order@sylke.com; po@sylke.com
SYLLABLE CORP,Other Technology,syllable.io,SUNNYVALE,CA,94089,(408) 743-5968,2016,9,"Guilherme Medeiros Bastos, Sarel Kobus Jooste",,13714517,13714517,Series A,24-08-2018,,,,,,neuros@mail.co; hello@syllabletech.com
SYLO INC,Computers,sylo.com,NEW YORK,NY,10001,(646) 505-8482,2015,10,"Brett Garfinkel, Erick Schwab",Kerry Miller,3000000,3000000,Pre-Seed,14-09-2018,,,,,,sales@brandbucket.com; info@brandbucket.com
SYMBIOSIS HEALTH INC,Other Technology,symbiosis-health.com,Lombard,IL,60148,(773) 576-4051,2012,13,Piyush Kedia,,1253525,1253525,Pre-Seed,18-12-2012,,,,,,symbiosishealth@proton.me
SYMBIOSE TECHNOLOGIES INC,Other Technology,symbiose-technologies.com,SAN FRANCISCO,CA,94115,(732) 439-6210,2018,7,Ryan D. McKinney,,1084998,1084998,Pre-Seed,10-07-2019,,,,,,contact@symbiose-rt.com
SYMBIOSYS CORP,Other Technology,symbiosys.com,BELLEVUE,WA,98004,(425) 891-0739,2022,3,Bashar Kachachi,"Cameron Borumand, Jonathan Opdyke",11520000,11520000,Series A,08-12-2023,,,,,,unsubscribe@newsletter.com
SYMMETRE INC,Other Technology,symmetre.com,CHICAGO,IL,60611,(800) 957-9331,,,"Jack Swoboda, Ross Piermarini","Brandt Stiles, David Rogg",5377744,5377744,Seed,04-02-2025,,,,,,info@symmetRE.com
SYMPHONY COMMERCE INC,Other Technology,symphony-commerce.com,SAN FRANCISCO,CA,94103,(650) 739-7519,2010,15,"Harish Abbott, Henry Kim, Justin Jow, Ken Fine, Marc Chapman","Ajay Agarwal, Devdutt Yellurkar, Harish Abbott, Richard Heitzmann",67225008,10000003,Series A,28-06-2017,,,,,,support@symphonycommerce.io
SYNACOR INC,Other Technology,synacor.com,BUFFALO,NY,14202,(716) 853-1362,,,"George J. Chamoun, Himesh Bhise, William J. Stuart","Andrew J. Kau, Gary J. Ginsberg, Jordan J. Levy, Marwan J. Fawaz, Scott J. Murphy",6150000,6150000,Seed,14-09-2015,4,0,100,80683,['Sr. Software Engineer'],tss@synacor.com; sales@synacor.com; hrdept@synacor.com; press@synacor.com
SYNC FLOOR INC,Other Technology,syncfloor.com,SEATTLE,WA,98112,(206) 484-5457,2017,8,"Cestjon McFarland, Kirt Debique",Kirby Winfield,1000000,1000000,Pre-Seed,01-11-2021,,,,,,xoilac-twinester@gmail.com
SYNCAPP INC,Other Technology,syncapp.com,IRVING,TX,75063,(469) 939-7307,2016,9,"Bhavesh Soni, Pradeep Hodigere","Jagresh Soni, Vaishali Soni",2710490,1500000,Pre-Seed,09-01-2017,,,,,,support@goodsync.com
SYNCHRON INC,Other,synchron.com,CAMPBELL,CA,95008,(917) 216-0774,,,Thomas James Oxley,"Alex James Morgan, Ari James Nowacek, Martin James Dieck, Nicholas James Opie, Rahul James Sharma",124873462,86000000,Series C,07-11-2022,2684,20,99.26035503,115466,"['ASSOCIATE SPECIALIST - TECHNOLOGY', 'Associate Specialist - Technology', 'LEAD - TECHNOLOGY', 'Lead - Technology', 'Sr. Specialist - Technology', 'Sr. Specialist – Technology', 'Specialist – Technology', 'Associate Specialist – Technology', 'Assistant Manager – Technology', 'Specialist-Technology', 'Associate Specialist-Technology', 'Lead-Technology', 'Sr. Specialist-Technology', 'Lead - Technology']",info@synchron.com; media@synchron.com
SYNDIC8 DMS LLC,Other Technology,syndic8dms.com,Boston,MA,2115,(508) 748-2052,2018,7,"Christopher John, Joseph Christian DiNardo",,5250000,2250000,Pre-Seed,19-03-2020,,,,,,4info@syndic8.io; sales@syndic8.io
SYNDIC8 LLC,Other,syndic8.io,MARION,MA,2738,(508) 748-2052,2018,7,"Christopher John, Joseph Christian DiNardo",,4250000,1750000,Pre-Seed,19-03-2020,,,,,,sales@syndic8.io; 4info@syndic8.io
SYNERAI CORP,Other,synerai.com,WHITE PLAINS,NY,10605,(571) 643-8102,2020,5,"Christele Zecchin, Pascal Belaud, Travis Nixon",,,,,,,,,,,info@synerai.com
SYNEDGEN INC,Pharmaceuticals,synedgen.com,CLAREMONT,CA,91711,(909) 447-6858,,,"Kaveri P. Parker, Shenda Baker, William P. Wiesmann, William P. Wiesmann, M.D., William Weismann, William Wiesmann","Andrew Miller, Andrew W. Miller, Clarke Atwell, Daniel C. Bradbury, Diane Olmstead, Hal W. Oien, Kenton Gregory, Kenton P. Gregory, Kenton P. Gregory, M.D., Kenton W. Gregory, M.D., Larry Shapiro, Paul C. Grint, Paul Grint, Paul P. Grint, M.D., Robert Coughlin, Robert P. Coughlin",22000000,2000000,Pre-Seed,11-09-2024,,,,,,info@synedgen.com
SYNLICO INC,Biotechnology,synlico.com,South San Francisco,CA,94080,(510) 898-6664,2021,4,Jingwei Lu,,6000040,3000000,Seed,24-02-2025,2,0,100,110230,['Financial and Investor Relations Manager'],info@synlico.com; career@synlico.com
SYNOPTIC TECHNOLOGIES INC,Other Technology,synoptic.com,UNIONDALE,NY,11556,(916) 839-3794,2023,2,Karim Dus,,1500000,1500000,Pre-Seed,21-10-2024,,,,,,info@synoptic.com
SYNMAX INC,Other Technology,synmax.com,HOUSTON,TX,77079,(281) 989-2165,2021,4,"Brendan O. Moore, Eric Menachery Anderson, Saju Menachery Thomas",William O. Perkins,20000000,20000000,Series B,18-12-2023,,,,,,info@synmax.com
SYNTHEGO CORP,Biotechnology,synthego.com,REDWOOD CITY,CA,94063,(888) 611-6883,2012,13,"Forrest John Baringer-Jones, Michael Jakub Dabrowski, Paul John Dabrowski","Drew John Oetting, Scott John Nolan",156970289,116273602,Series D+,09-10-2018,14,0,100,125000,['Analytical Scientist'],support@synthego.com
SYNTHESIS SCHOOL INC,Other Technology,synthesisschool.com,SAN MATEO,CA,94403,(808) 729-9203,2020,5,"G Charles Harrison, Robert Chrisman Frank",Joshua Chrisman Dahn,5000000,5000000,Seed,18-05-2021,2,0,100,110000,['Product Manager'],questions@synthesis.com
SYNTIANT CORP,Other Technology,syntiant.com,Irvine,CA,92618,(949) 774-4887,2017,8,"Jeremiah H. Holleman III, Kurt F. Busch","Arun H. Chetty, Brad H. McManus, Brad M. McManus, Bret H. Johnsen, Bret M. Johnsen, Edward H. Frank, Jeremiah H. Holleman III, Michael M. Stewart, Samir H. Kumar, Samir M. Kumar, Sunil M. Sanghavi",134059977,70000000,Series C,10-02-2022,,,,,,join@syntiant.com
SYSTEM INC,Other Technology,system.com,NEW YORK,NY,10007,(413) 248-7726,2017,8,Adam Bly,"Asad Khaliq, Josh Wolfe",12244993,12244993,Series A,15-04-2021,,,,,,pr@system.com; hello@system.com
T SQRD INC,Other Technology,t-sqrd.com,LOS GATOS,CA,95032,(408) 357-4751,2018,7,"Anand Nathan, Meena Mallipeddi",Carl Byers,17599983,17599983,Series B,11-03-2022,,,,,,info@t-sqrd.com
T2EARTH HOLDINGS LLC,Manufacturing,t2earth.com,JERICHO,NY,11753,(516) 422-7124,2017,8,Joel S. Kier,"Adam S. Lelonek, Adam S. Moskowitz, Leroy H. Simkins, Levi H. Pollard, Michael S. Sherwood",20000000,10000000,Series A,24-10-2022,,,,,,support@t2earth.com
T2 ASSET GROUP LLC,Other,t2asset.com,Hicksville,NY,11801,(516) 327-2750,2011,14,,"Andrew Chernoff, Jordan Ziegler, Lee Israel, Robert Codignotto, Vivian Huo",2250000,2250000,Seed,27-05-2016,,,,,,info@t2asset.com
T4 SPATIAL LLC,Other,t4spatial.com,SANTA BARBARA,CA,93101,(805) 966-2440,2011,14,"Robert Hughes, Steve Tarino",,1500000,1500000,Pre-Seed,23-11-2015,,,,,,mthompson@t4spatial.com; support@t4spatial.com; Rogelio.castillo@t4spatial.com
TABU HEALTH INC,Other Technology,tabuhealth.com,San Francisco,CA,94117,(949) 697-3588,2016,9,Carolyn Witte,"Adam Michela, Felicity Yost",3014025,3014025,Seed,08-09-2017,,,,,,service@atom.com
TABULATE INC,Other Technology,tabulate.com,WEST UNIVERSITY PLACE,TX,77005,(312) 236-3003,2014,11,"ALBERT J BLANCHARD, JAMES P MOSKOSKY",,2000000,2000000,Seed,14-07-2015,,,,,,sales@tabulate.com
TABLELIST INC,Other Technology,tablelist.com,BOSTON,MA,2111,(617) 340-8724,2013,12,Julian Jung,Jason Carroll,10511924,4000000,Pre-Seed,22-03-2016,,,,,,jobs@tablelist.com
TACHYUS CORP,Other Technology,tachyus.com,Palo Alto,CA,94301,(314) 265-2271,2013,12,"Brandon Simmons, Brian Royston, Dakin Sloss, Francisco LePort, Jerelyn Eagan, Paul Orland","Dakin Sloss, Jeremy Arendt, Scott Nolan",46407074,15000000,Seed,16-05-2019,,,,,,info@tachyus.com; info@tacyus.com
TACTICAL EDGE SYSTEMS INC,Other,tacticaledgesystems.com,BILLERICA,MA,1862,(978) 800-1603,2024,1,"Erik Limpaecher, Mark Donahue",,1900000,1900000,Pre-Seed,21-08-2024,,,,,,info@tacticaledgesystems.com
TACTUAL LABS CO,Other Technology,tactuallabs.com,NEW YORK,NY,10012,(347) 406-3966,2012,13,"Adam Landa, Alan Bluestine, Clifton Forlines, Inbar Meir, Steven Sanders","Clifton Forlines, David Rutledge, Hermann Eul, Ira Platt, Jay Bluestine, Wigdor Daniel",25000045,10000000,Seed,12-07-2019,,,,,,recruiting@tactuallabs.com; info@tactuallabs.com
TAGASAURIS INC,Other,tagasauris.com,NEW YORK,NY,10016,(917) 776-3027,2010,15,Todd Carter,Michael Solomon,2240001,2240001,Pre-Seed,30-09-2013,,,,,,info@tagasauris.com
TAGKAST INC,Other Technology,tagkast.com,CHICAGO,IL,60654,(312) 436-2137,2010,15,"Joseph A. Matthews, Sean A. Strother","Bill A. Newlands, Mike A. Tunnicliffe, Tony A. Bobulinski",3000000,3000000,Seed,02-06-2014,,,,,,sales@tagkast.com
TAGORETECH INC,Other Technology,tagoretech.com,ARLINGTON HEIGHTS,IL,60004,(847) 790-3800,2024,1,"Manish Shah, Paul Hart","Andrew Kau, Oleg Khaykin",4000000,4000000,Pre-Seed,01-07-2025,,,,,,support@tagoretech.com; jobs@tagoretech.com
TAGORE TECHNOLOGY INC,Other Technology,tagoretechnology.com,ARLINGTON HEIGHTS,IL,60004,(847) 790-3800,2011,14,"Amitava Das, Chae Lee","Andrew Kau, Lip-Bu Tan, Manish Shah, Oleg Khaykin",15500000,1500000,Pre-Seed,22-06-2023,2,0,100,85000,['Senior RF Engineer '],jobs@tagoretech.com; support@tagoretech.com
TAHI TECHNOLOGIES INC,Other Technology,tahi.com,BERKELEY,CA,94704,(631) 700-3633,2014,11,Khalid Aboujassoum,,1800000,1800000,Pre-Seed,10-05-2017,,,,,,hello@tahinz.com; admin@tahinz.com
TAGNOS INC,Other Technology,tagnos.com,IRVINE,CA,92617,(949) 305-0806,2018,7,Neeraj S. Bhavani,"Eve Singh Kurtin, Satveer Singh Thakral",6319053,6319053,Series A,05-02-2018,,,,,,sales@tagnos.com; marketing@tagnos.com; info@tagnos.com; support@tagnos.com
TAKEOFF TECHNOLOGIES INC,Other Technology,takeoff-technologies.com,WALTHAM,MA,2453,(617) 825-3633,2016,9,"Jose Vicente Aguerrevere, Juan Max Pedro, Rafael Vicente Pieretti","Annette Max Franqui, Juan Max Mendoza, Juan Simon Mendoza, Michael Simon Chu",256201243,146091213,Series C,02-12-2021,,,,,,info@takeoff-technologies.com
TAKE TWO CO,Other Technology,take-two.com,LOS ALTOS HILLS,CA,94022,(650) 394-4176,2021,4,"Anjali Joshi, Maricia Suzanne Scott, Minal Mehta",,4224992,4224992,Seed,07-10-2021,,,,,,hello@pagelines.com
TAL SOLUTIONS LLC,Other,tal.co,HOLLIS HILLS,NY,11364,(347) 478-5194,,,Marcia Tal,,1000000,1000000,Pre-Seed,08-12-2020,,,,,,info@tal.co
TALECH INC,Other,talech.com,PALO ALTO,CA,94306,(888) 995-1998,2012,13,Irv Henderson,"Carl Pascarella, Joseph Chen, Linlong Jiang",6563837,6563837,Series A,14-08-2014,,,,,,support@talech.com
TALKGO INC,Other Technology,talkgo.com,SEATTLE,WA,98103,(815) 575-0683,2018,7,"Andrew DeLorenzo, Chandler Murch","Aaron Finch, Andrew DeLorenzo, Dan Gerrity, Jennifer Ray",3500000,2500000,Pre-Seed,20-10-2021,2,0,100,69243,['Manufacturing Electrical Engineer'],NameGO@NameGO.com; namego@namego.com
TALKTOMIRA INC,Other Health Care,talktomira.com,NEW YORK,NY,10014,(872) 222-8505,2019,6,Khang Vuong,Jesse Middleton,2679998,2679998,Seed,28-09-2020,,,,,,business@talktomira.com; support@talktomira.com; providers@talktomira.com
TALLIED TECHNOLOGIES INC,Other,tallied.com,San Ramon,CA,94583,(510) 593-5858,2021,4,Sunil Singh,"Amelie Foz-Couture, Stephanie Choo, Stephen Schultz",36274960,21887478,Series B,01-03-2022,,,,,,info@tallied.com; info@talledaccouting.com
TALLY SURGICAL INC,Other Health Care,tallysurgical.com,Irvine,CA,92618,(310) 710-7839,2020,5,Brian Stewart,"David A. Dreyer, David Dreyer, Jason Grimes, Stavros Vizirgianakis, Stephen A. Inacker, Stephen Inacker",11539998,7189998,Series A,15-04-2024,,,,,,info@tallysurgical.com
